dev_alphabetical_id,dev_numerical_id
D05_V_indoorYT_still_0002,3
D05_V_indoorYT_panrot_0001,3
D35_V_outdoorYT_move_0001,24
D08_V_indoorYT_panrot_0002,6
D32_V_outdoorYT_panrot_0001,22
D15_V_outdoorYT_still_0001,4
D30_V_indoorYT_move_0001,20
D24_V_outdoorYT_panrot_0002,15
D05_V_outdoorYT_still_0002,3
D28_V_outdoorYT_still_0001,18
D35_V_outdoorYT_panrot_0002,24
D25_V_outdoorYT_move_0001,16
D03_V_indoorYT_still_0002,2
D33_V_outdoorYT_move_0001,23
D27_V_indoorYT_move_0001,17
D03_V_outdoorYT_move_0001,2
D13_V_indoorYT_move_0002,9
D01_V_outdoorYT_still_0003,0
D20_V_indoorYT_still_0001,12
D31_V_indoorYT_still_0002,21
D31_V_indoorYT_still_0001,21
D20_V_outdoorYT_still_0001,12
D19_V_indoorYT_panrot_0001,11
D07_V_outdoorYT_still_0002,5
D19_V_indoorYT_still_0001,11
D34_V_indoorYT_move_0001,19
D31_V_outdoorYT_move_0002,21
D32_V_indoorYT_still_0001,22
D01_V_outdoorYT_panrot_0003,0
D30_V_indoorYT_panrot_0001,20
D16_V_outdoorYT_panrot_0001,10
D33_V_indoorYT_move_0002,23
D08_V_indoorYT_panrot_0001,6
D24_V_indoorYT_still_0001,15
D21_V_outdoorYT_still_0002,13
D34_V_indoorYT_move_0004,19
D14_V_indoorYT_still_0001,3
D08_V_outdoorYT_move_0003,6
D16_V_indoorYT_move_0002,10
D26_V_outdoorYT_move_0002,0
D33_V_indoorYT_move_0001,23
D02_V_indoorYT_panrot_0001,1
D03_V_outdoorYT_still_0002,2
D10_V_indoorYT_move_0001,1
D35_V_indoorYT_still_0001,24
D35_V_indoorYT_panrot_0002,24
D21_V_indoorYT_move_0001,13
D23_V_outdoorYT_move_0002,14
D06_V_indoorYT_move_0002,4
D19_V_indoorYT_move_0001,11
D31_V_indoorYT_panrot_0001,21
D01_V_indoorYT_still_0002,0
D07_V_outdoorYT_move_0001,5
D10_V_outdoorYT_still_0001,1
D03_V_outdoorYT_panrot_0002,2
D23_V_outdoorYT_move_0001,14
D06_V_outdoorYT_move_0002,4
D02_V_outdoorYT_still_0003,1
D13_V_indoorYT_still_0001,9
D34_V_outdoorYT_move_0003,19
D01_V_outdoorYT_panrot_0002,0
D28_V_indoorYT_still_0002,18
D24_V_indoorYT_panrot_0002,15
D23_V_outdoorYT_still_0002,14
D34_V_outdoorYT_move_0001,19
D35_V_indoorYT_move_0002,24
D14_V_indoorYT_still_0002,3
D18_V_outdoorYT_still_0001,3
D20_V_outdoorYT_panrot_0002,12
D19_V_outdoorYT_move_0002,11
D08_V_outdoorYT_panrot_0004,6
D09_V_indoorYT_move_0001,7
D29_V_outdoorYT_move_0001,19
D01_V_indoorYT_panrot_0001,0
D15_V_indoorYT_panrot_0001,4
D11_V_outdoorYT_move_0002,8
D14_V_outdoorYT_move_0002,3
D01_V_outdoorYT_panrot_0001,0
D23_V_outdoorYT_panrot_0001,14
D05_V_outdoorYT_panrot_0001,3
D06_V_outdoorYT_still_0001,4
