dev_alphabetical_id,dev_numerical_id
D27_V_indoorWA_panrot_0002,17
D06_V_indoorWA_move_0002,4
D18_V_indoorWA_panrot_0001,3
D27_V_outdoorWA_move_0001,17
D16_V_outdoorWA_move_0001,10
D31_V_outdoorWA_still_0001,21
D14_V_outdoorWA_still_0001,3
D08_V_indoorWA_still_0001,6
D02_V_outdoorWA_still_0001,1
D13_V_indoorWA_panrot_0002,9
D13_V_indoorWA_move_0002,9
D08_V_outdoorWA_still_0002,6
D35_V_indoorWA_panrot_0002,24
D24_V_indoorWA_move_0001,15
D21_V_indoorWA_move_0001,13
D16_V_outdoorWA_panrot_0002,10
D33_V_indoorWA_move_0002,23
D27_V_indoorWA_still_0001,17
D34_V_indoorWA_still_0001,19
D10_V_outdoorWA_panrot_0002,1
D19_V_indoorWA_still_0001,11
D14_V_outdoorWA_still_0002,3
D08_V_indoorWA_panrot_0001,6
D30_V_indoorWA_move_0002,20
D25_V_outdoorWA_panrot_0001,16
D14_V_indoorWA_still_0001,3
D09_V_outdoorWA_move_0001,7
D08_V_outdoorWA_move_0004,6
D11_V_indoorWA_panrot_0002,8
D01_V_outdoorWA_still_0004,0
D11_V_outdoorWA_still_0001,8
D34_V_indoorWA_still_0003,19
D01_V_indoorWA_still_0002,0
D35_V_outdoorWA_panrot_0002,24
D13_V_indoorWA_still_0002,9
D18_V_indoorWA_move_0001,3
D02_V_indoorWA_panrot_0001,1
D07_V_indoorWA_panrot_0001,5
D28_V_outdoorWA_panrot_0002,18
D01_V_outdoorWA_panrot_0002,0
D25_V_outdoorWA_still_0002,16
D32_V_outdoorWA_move_0002,22
D15_V_indoorWA_panrot_0002,4
D08_V_indoorWA_move_0004,6
D33_V_outdoorWA_move_0002,23
D06_V_outdoorWA_still_0001,4
D26_V_outdoorWA_panrot_0001,0
D07_V_outdoorWA_panrot_0001,5
D05_V_indoorWA_panrot_0002,3
D31_V_outdoorWA_panrot_0001,21
D26_V_indoorWA_move_0001,0
D01_V_outdoorWA_move_0004,0
D08_V_indoorWA_still_0004,6
D08_V_indoorWA_move_0003,6
D24_V_outdoorWA_still_0001,15
D07_V_outdoorWA_still_0001,5
D07_V_outdoorWA_panrot_0002,5
D05_V_indoorWA_still_0001,3
D23_V_indoorWA_move_0002,14
D08_V_outdoorWA_move_0002,6
D09_V_outdoorWA_panrot_0002,7
D19_V_outdoorWA_still_0001,11
D24_V_outdoorWA_move_0002,15
D15_V_outdoorWA_panrot_0001,4
D33_V_indoorWA_panrot_0002,23
D30_V_outdoorWA_still_0002,20
D10_V_outdoorWA_still_0002,1
D20_V_indoorWA_move_0002,12
D32_V_outdoorWA_panrot_0001,22
D16_V_indoorWA_still_0001,10
D11_V_outdoorWA_move_0001,8
D33_V_outdoorWA_still_0001,23
D27_V_indoorWA_move_0002,17
D15_V_outdoorWA_move_0002,4
D11_V_outdoorWA_move_0002,8
D11_V_indoorWA_move_0001,8
D01_V_indoorWA_panrot_0002,0
D33_V_outdoorWA_move_0001,23
D34_V_indoorWA_panrot_0001,19
D10_V_outdoorWA_move_0001,1
D21_V_indoorWA_panrot_0001,13
D27_V_indoorWA_move_0001,17
D27_V_outdoorWA_still_0001,17
D03_V_indoorWA_panrot_0001,2
D28_V_indoorWA_still_0002,18
D01_V_outdoorWA_still_0002,0
D34_V_indoorWA_panrot_0002,19
D34_V_outdoorWA_panrot_0002,19
D15_V_outdoorWA_panrot_0002,4
D20_V_indoorWA_still_0001,12
D11_V_outdoorWA_panrot_0001,8
D09_V_indoorWA_panrot_0002,7
D29_V_outdoorWA_still_0001,19
D35_V_outdoorWA_still_0002,24
D29_V_indoorWA_panrot_0002,19
D14_V_indoorWA_move_0001,3
D16_V_indoorWA_panrot_0002,10
D03_V_indoorWA_still_0001,2
D30_V_outdoorWA_move_0001,20
D34_V_outdoorWA_move_0004,19
D28_V_indoorWA_still_0001,18
D08_V_outdoorWA_still_0003,6
D31_V_indoorWA_panrot_0001,21
D26_V_indoorWA_still_0001,0
D06_V_outdoorWA_still_0002,4
D13_V_outdoorWA_move_0001,9
D19_V_indoorWA_panrot_0001,11
D27_V_indoorWA_still_0002,17
D26_V_outdoorWA_move_0002,0
D34_V_indoorWA_still_0004,19
D26_V_indoorWA_panrot_0001,0
D08_V_indoorWA_panrot_0002,6
D14_V_indoorWA_panrot_0002,3
D29_V_indoorWA_still_0001,19
D09_V_outdoorWA_still_0002,7
D09_V_indoorWA_still_0001,7
D26_V_indoorWA_still_0002,0
D05_V_indoorWA_panrot_0001,3
D26_V_outdoorWA_still_0001,0
D19_V_indoorWA_panrot_0002,11
D02_V_outdoorWA_panrot_0002,1
D18_V_indoorWA_still_0001,3
D25_V_indoorWA_panrot_0001,16
D09_V_outdoorWA_still_0001,7
D06_V_indoorWA_still_0002,4
D18_V_outdoorWA_still_0002,3
D05_V_outdoorWA_panrot_0002,3
D03_V_indoorWA_panrot_0002,2
D28_V_indoorWA_move_0001,18
D08_V_indoorWA_still_0002,6
D23_V_outdoorWA_still_0001,14
D24_V_indoorWA_still_0001,15
D23_V_outdoorWA_move_0001,14
D32_V_outdoorWA_still_0002,22
D19_V_outdoorWA_panrot_0002,11
D27_V_indoorWA_panrot_0001,17
D24_V_indoorWA_move_0002,15
D19_V_outdoorWA_panrot_0001,11
D35_V_outdoorWA_move_0001,24
D30_V_indoorWA_panrot_0001,20
D31_V_outdoorWA_move_0001,21
D01_V_indoorWA_move_0001,0
D09_V_indoorWA_panrot_0001,7
D14_V_outdoorWA_move_0001,3
D32_V_outdoorWA_panrot_0002,22
D06_V_outdoorWA_move_0001,4
D10_V_indoorWA_move_0002,1
D13_V_outdoorWA_panrot_0001,9
D32_V_indoorWA_move_0001,22
D01_V_outdoorWA_panrot_0001,0
D23_V_indoorWA_still_0002,14
D21_V_outdoorWA_still_0001,13
D03_V_outdoorWA_panrot_0002,2
D16_V_indoorWA_move_0001,10
D02_V_outdoorWA_still_0003,1
D09_V_indoorWA_move_0002,7
D35_V_indoorWA_still_0001,24
D05_V_outdoorWA_move_0001,3
D03_V_indoorWA_still_0002,2
D20_V_outdoorWA_move_0001,12
D23_V_indoorWA_move_0001,14
D18_V_outdoorWA_still_0001,3
D31_V_outdoorWA_panrot_0002,21
D25_V_indoorWA_still_0002,16
D10_V_outdoorWA_still_0001,1
D01_V_outdoorWA_panrot_0003,0
D23_V_outdoorWA_still_0002,14
D16_V_indoorWA_panrot_0001,10
D34_V_indoorWA_panrot_0004,19
D20_V_indoorWA_panrot_0001,12
D06_V_indoorWA_move_0001,4
D33_V_indoorWA_still_0002,23
D15_V_indoorWA_still_0002,4
D11_V_indoorWA_still_0002,8
D29_V_indoorWA_move_0002,19
D34_V_outdoorWA_panrot_0001,19
D20_V_outdoorWA_move_0002,12
D01_V_indoorWA_panrot_0001,0
D05_V_outdoorWA_still_0002,3
D19_V_outdoorWA_still_0002,11
D19_V_indoorWA_move_0001,11
D20_V_outdoorWA_panrot_0002,12
D33_V_indoorWA_still_0001,23
D16_V_outdoorWA_still_0002,10
D14_V_outdoorWA_move_0002,3
D10_V_indoorWA_still_0001,1
D15_V_outdoorWA_move_0001,4
D03_V_indoorWA_move_0002,2
D25_V_indoorWA_panrot_0002,16
D13_V_outdoorWA_panrot_0002,9
D03_V_outdoorWA_still_0002,2
D24_V_outdoorWA_still_0002,15
D08_V_outdoorWA_move_0003,6
D34_V_indoorWA_move_0003,19
D34_V_outdoorWA_move_0002,19
D01_V_indoorWA_move_0002,0
D23_V_indoorWA_panrot_0002,14
D08_V_outdoorWA_panrot_0002,6
D32_V_outdoorWA_still_0001,22
D34_V_outdoorWA_move_0001,19
D06_V_outdoorWA_move_0002,4
D28_V_indoorWA_panrot_0001,18
D31_V_indoorWA_panrot_0002,21
D02_V_indoorWA_move_0001,1
D35_V_outdoorWA_still_0001,24
D33_V_indoorWA_move_0001,23
D34_V_indoorWA_move_0002,19
D10_V_outdoorWA_panrot_0001,1
D05_V_outdoorWA_still_0001,3
D29_V_outdoorWA_move_0001,19
D29_V_outdoorWA_panrot_0001,19
D01_V_outdoorWA_panrot_0004,0
D06_V_outdoorWA_panrot_0002,4
D05_V_outdoorWA_panrot_0001,3
D11_V_indoorWA_panrot_0001,8
D02_V_indoorWA_still_0001,1
D03_V_outdoorWA_still_0001,2
D05_V_indoorWA_move_0002,3
D10_V_indoorWA_move_0001,1
D21_V_outdoorWA_panrot_0001,13
D08_V_outdoorWA_panrot_0004,6
D35_V_indoorWA_still_0002,24
D26_V_indoorWA_move_0002,0
D20_V_outdoorWA_panrot_0001,12
D16_V_outdoorWA_move_0002,10
D34_V_indoorWA_still_0002,19
D07_V_indoorWA_panrot_0002,5
D18_V_outdoorWA_move_0001,3
D08_V_indoorWA_still_0003,6
D30_V_indoorWA_still_0001,20
D31_V_indoorWA_still_0002,21
D01_V_outdoorWA_move_0002,0
D19_V_indoorWA_move_0002,11
D28_V_indoorWA_move_0002,18
D32_V_indoorWA_still_0002,22
D13_V_outdoorWA_move_0002,9
D25_V_outdoorWA_move_0002,16
D30_V_outdoorWA_move_0002,20
D07_V_outdoorWA_still_0002,5
D34_V_indoorWA_move_0004,19
D05_V_indoorWA_move_0001,3
D05_V_indoorWA_still_0002,3
D24_V_indoorWA_panrot_0001,15
D33_V_outdoorWA_still_0002,23
D18_V_outdoorWA_panrot_0001,3
D09_V_outdoorWA_move_0002,7
D11_V_indoorWA_still_0001,8
D31_V_outdoorWA_still_0002,21
D08_V_outdoorWA_still_0004,6
D08_V_indoorWA_panrot_0004,6
D25_V_indoorWA_move_0001,16
D29_V_indoorWA_still_0002,19
D23_V_outdoorWA_move_0002,14
D26_V_indoorWA_panrot_0002,0
D35_V_outdoorWA_move_0002,24
D02_V_outdoorWA_panrot_0001,1
D34_V_indoorWA_panrot_0003,19
D08_V_indoorWA_panrot_0003,6
D27_V_outdoorWA_still_0002,17
D25_V_outdoorWA_still_0001,16
D28_V_outdoorWA_still_0001,18
D15_V_indoorWA_still_0001,4
D20_V_outdoorWA_still_0001,12
D24_V_indoorWA_still_0002,15
D20_V_indoorWA_still_0002,12
D01_V_outdoorWA_still_0003,0
